"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With an Internet subscription","Margin of Error!!Total:!!With an Internet subscription","Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type","Estimate!!Total:!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan","Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total:!!Internet access without a subscription","Margin of Error!!Total:!!Internet access without a subscription","Estimate!!Total:!!No Internet access","Margin of Error!!Total:!!No Internet access"
"0500000US55009","Brown County, Wisconsin","107385","1227","94862","1912","252","318","94610","1938","86529","2382","11960","1762","78411","2631","6199","1226","6352","983","816","437","252","355","2769","964","9754","1414"
"0500000US55025","Dane County, Wisconsin","229760","1902","211627","2570","424","253","211203","2593","197619","3204","18029","2002","186514","3236","12329","1492","12702","1764","658","287","33","38","6789","1327","11344","1588"
"0500000US55027","Dodge County, Wisconsin","35104","947","30895","1056","199","133","30696","1050","27710","1115","6010","922","21569","1263","2100","460","3251","717","670","260","112","88","627","363","3582","591"
"0500000US55035","Eau Claire County, Wisconsin","41385","1260","37758","1450","130","115","37628","1459","32379","1543","5301","1275","30711","1880","4553","845","3084","689","270","207","47","57","616","378","3011","647"
"0500000US55039","Fond du Lac County, Wisconsin","42604","1050","35481","1439","216","161","35265","1418","32108","1450","5052","888","26874","1525","2506","617","3730","737","495","227","0","153","990","440","6133","940"
"0500000US55055","Jefferson County, Wisconsin","32783","1218","28960","1325","66","60","28894","1330","25319","1306","4822","869","21466","1243","3140","891","2794","645","201","127","137","172","588","254","3235","740"
"0500000US55059","Kenosha County, Wisconsin","64187","1921","58242","1822","0","153","58242","1822","53721","1853","7772","1434","47390","2003","4050","896","4361","927","471","230","0","153","1295","575","4650","1017"
"0500000US55063","La Crosse County, Wisconsin","48175","1115","42343","1502","95","105","42248","1511","37182","1742","5281","995","35282","1540","4510","1023","2376","649","245","203","112","180","1298","393","4534","1018"
"0500000US55071","Manitowoc County, Wisconsin","33831","769","28811","1002","111","103","28700","1032","25820","1096","5097","840","21151","1098","2473","532","3313","766","372","200","13","21","489","288","4531","861"
"0500000US55073","Marathon County, Wisconsin","54765","1202","47357","1617","515","238","46842","1651","41162","1628","7726","1201","35134","1702","4676","859","4928","721","603","280","24","39","1022","392","6386","1098"
"0500000US55079","Milwaukee County, Wisconsin","383665","3473","316512","4345","919","326","315593","4338","293542","4666","41189","3248","266258","5116","19002","1893","15666","1587","1593","638","390","376","9682","1596","57471","3485"
"0500000US55087","Outagamie County, Wisconsin","74974","1091","66719","1360","245","197","66474","1354","60861","1797","8648","1385","53802","1895","4967","927","4526","821","395","237","48","41","925","374","7330","1044"
"0500000US55089","Ozaukee County, Wisconsin","35795","961","32907","1033","206","193","32701","1050","29324","1210","2849","772","28718","1208","3102","798","2177","659","151","136","0","153","805","398","2083","551"
"0500000US55097","Portage County, Wisconsin","29063","733","25347","1018","76","73","25271","1030","21972","1039","2992","615","21133","1088","3083","839","1578","387","133","99","22","35","554","295","3162","664"
"0500000US55101","Racine County, Wisconsin","78905","1384","69435","2137","0","153","69435","2137","63283","2221","10931","1837","55453","2305","5143","938","4566","1050","420","250","301","320","1369","480","8101","1831"
"0500000US55105","Rock County, Wisconsin","65316","1200","56160","1905","430","269","55730","1831","50910","1933","8194","1217","43507","2044","4304","984","4628","832","434","251","0","153","1498","700","7658","1271"
"0500000US55109","St. Croix County, Wisconsin","34731","1011","29683","1372","180","161","29503","1376","27543","1456","6108","1093","21959","1633","1692","493","1796","484","76","81","51","68","731","395","4317","1191"
"0500000US55117","Sheboygan County, Wisconsin","48691","930","42943","1409","257","160","42686","1391","37623","1499","6396","1158","33937","1626","4182","720","3628","611","401","150","113","123","865","367","4883","1052"
"0500000US55127","Walworth County, Wisconsin","42799","1177","36317","1437","105","132","36212","1476","32160","1431","3680","689","30208","1588","3750","904","2674","597","181","124","13","22","1760","702","4722","999"
"0500000US55131","Washington County, Wisconsin","55256","992","50183","1446","143","209","50040","1405","44867","1525","6685","1377","39359","1504","4509","1023","4594","897","415","289","148","181","687","435","4386","897"
"0500000US55133","Waukesha County, Wisconsin","160635","1655","147985","2164","617","320","147368","2194","136890","2479","12969","1776","130146","2660","9511","1371","8181","1201","193","167","394","275","3281","896","9369","1536"
"0500000US55139","Winnebago County, Wisconsin","71238","1399","61307","1883","885","763","60422","2004","53238","2047","8779","1456","48990","2120","6495","1051","3555","800","391","242","59","107","1393","588","8538","1367"
"0500000US55141","Wood County, Wisconsin","32684","1008","28357","1297","169","147","28188","1301","24006","1186","4950","909","21758","1337","3829","717","1577","388","193","163","16","27","732","338","3595","783"
"0500000US56021","Laramie County, Wyoming","41739","990","35731","1846","198","197","35533","1826","31557","2138","4699","1173","28456","1803","3791","1260","3597","899","107","134","0","207","1271","609","4737","1046"
"0500000US56025","Natrona County, Wyoming","33044","1230","28509","1595","0","207","28509","1595","25261","1762","2614","893","24342","1716","2879","930","1729","577","230","269","109","182","1398","714","3137","788"
"0500000US72013","Arecibo Municipio, Puerto Rico","32090","1274","23494","1531","199","203","23295","1550","21694","1600","9787","1156","11984","1354","1505","518","1802","656","96","117","0","234","739","444","7857","1255"
